start_location,end_location,cable_length_m
CR1-1,DP0-1,67.171
CR1-1,DP0-10,54.607
CR1-1,DP0-11,50.295
CR1-1,DP0-12,46.082
CR1-1,DP0-13,42.273
CR1-1,DP0-14,37.748
CR1-1,DP0-15,33.847
CR1-1,DP0-16,29.724
CR1-1,DP0-17,63.033
CR1-1,DP0-18,56.37
CR1-1,DP0-19,51.611
CR1-1,DP0-2,63.19
CR1-1,DP0-20,47.473
CR1-1,DP0-21,51.476
CR1-1,DP0-22,55.386
CR1-1,DP0-23,59.654
CR1-1,DP0-24,63.905
CR1-1,DP0-25,26.6
CR1-1,DP0-26,30.001
CR1-1,DP0-27,33.684
CR1-1,DP0-28,38.722
CR1-1,DP0-29,42.094
CR1-1,DP0-3,59.041
CR1-1,DP0-30,45.952
CR1-1,DP0-31,50.604
CR1-1,DP0-32,54.361
CR1-1,DP0-4,54.669
CR1-1,DP0-5,50.831
CR1-1,DP0-6,50.936
CR1-1,DP0-7,55.64
CR1-1,DP0-8,59.363
CR1-1,DP0-9,58.567
CR1-1,DP1-1,34.982
CR1-1,DP1-10,45.101
CR1-1,DP1-11,41.645
CR1-1,DP1-12,37.288
CR1-1,DP1-13,33.022
CR1-1,DP1-14,29.293
CR1-1,DP1-15,24.761
CR1-1,DP1-16,21.995
CR1-1,DP1-17,24.432
CR1-1,DP1-18,21.833
CR1-1,DP1-19,24.119
CR1-1,DP1-2,44.703
CR1-1,DP1-20,30.119
CR1-1,DP1-21,32.88
CR1-1,DP1-22,30.844
CR1-1,DP1-23,33.298
CR1-1,DP1-24,38.423
CR1-1,DP1-25,41.029
CR1-1,DP1-26,38.837
CR1-1,DP1-27,41.353
CR1-1,DP1-28,41.836
CR1-1,DP1-29,39.71
CR1-1,DP1-3,40.561
CR1-1,DP1-30,44.085
CR1-1,DP1-31,42.863
CR1-1,DP1-32,42.651
CR1-1,DP1-33,43.837
CR1-1,DP1-34,41.832
CR1-1,DP1-35,39.922
CR1-1,DP1-36,30.855
CR1-1,DP1-37,29.391
CR1-1,DP1-38,37.036
CR1-1,DP1-39,40.833
CR1-1,DP1-4,36.709
CR1-1,DP1-40,44.551
CR1-1,DP1-41,48.853
CR1-1,DP1-42,36.463
CR1-1,DP1-43,39.169
CR1-1,DP1-44,11.716
CR1-1,DP1-45,38.319
CR1-1,DP1-46,35.102
CR1-1,DP1-47,24.31
CR1-1,DP1-48,44.232
CR1-1,DP1-5,32.187
CR1-1,DP1-6,27.758
CR1-1,DP1-7,24.617
CR1-1,DP1-8,21.573
CR1-1,DP1-9,17.418
